Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Indicator reporting days,,,,28-07-2025 10:47:26,28-07-2025 10:56:30,9m - 3.762s,FAILED
,,,,,,,
"Test Cases/Indicator Current Date-1, 1 response interval and 1 reporting days",,,,28-07-2025 10:47:27,28-07-2025 10:50:29,3m - 2.007s,FAILED
"openBrowser(""https://bug-nation.cgrfoundation-staging.com/accounts/login"")",,,,28-07-2025 10:47:28,28-07-2025 10:50:29,3m - 1.187s,FAILED
,,,,,,,
Test Cases/AdminSection,,,,28-07-2025 10:50:29,28-07-2025 10:53:29,3m - 0.108s,FAILED
"openBrowser("""")",,,,28-07-2025 10:50:29,28-07-2025 10:53:29,3m - 0.036s,FAILED
,,,,,,,
Test Cases/TestCloud Sample,,,,28-07-2025 10:53:29,28-07-2025 10:56:30,3m - 0.722s,FAILED
try,,,,28-07-2025 10:53:29,28-07-2025 10:56:29,3m - 0.064s,FAILED
catch (Exception e),,,,28-07-2025 10:56:29,28-07-2025 10:56:29,0.160s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",,,,28-07-2025 10:56:29,28-07-2025 10:56:30,0.269s,FAILED
